indicator	ISO Country code	population	surface area (Km2)	GINI index	happy planet index	happy planet index	human development index	human development index	sustainable economic development assessment (SEDA)	GDP growth (annual %)		GDP ($ USD billions PPP)				GDP per capita in $ (PPP)				Economic Growth		health expenditure % of GDP									health expenditure per person			infant mortality	maternal mortality per 100,000 live births		education expenditure % of GDP	education expenditure % of GDP	education expenditure % of GDP	Education as % of GDP		% of primary school aged kids out of school		unemployment (%)		% of population in extreme poverty	% of population with access to electricity	political rights score		civil liberties score		political stability & absence of violence		government effectiveness		regulatory quality		rule of law		control of corruption		judicial effectiveness score		government integrity score		overall economic freedom score		financial freedom score		government expenditure (% of GDP)	CO2e emissions per capita	share of electricity from renewables generation		% of seats held by women in national parliaments			Military Spending as % of GDP	
Afghanistan	AFG	36,000,000	652,230	-	20.2	29.4	0.498	0.478	-	1.5	-2.35	75.6	78.6	76.7		2082	2152	2078		1.19	-2.35	3.7	3.26	3.51	3.37	3.2	3.21			3.21	184	70	65.8	60.8	638		3.8	3.2		3.2	3.21			8.5	13.28	0	97.7	12	1	14	9	-2.78	-2.53	-1.3	-1.6	-1.3	-1.3	-1.57	-1.871	-1.52	-1.14	28.2	-	26.2	-	51.3	-	10	-	26.3	0.16	86.10%	82.80%	27.7		27	...	1.20%
Albania	ALB	2,900,000	27,398	29	36.8	51	0.785	0.796	53.1	2.6	8.54	38.2	39	37.6	40.8	13498	13999	13632	15646	4.02	8.54	3.05	3.44	3.96	3.61		3.92	3.1		3.92	774	274.9		2.4	15		-		3.1		3.1	2.56	3.84	16.3	11.82	0	100	28	28	40	39	0.4	0.11	0.1	0	0.2	0.2	-0.4	-0.256	-0.42	-0.56	25.4	49.8	39.9	35.6	64.5	66.6	70	70	30.1	1.69	100.00%	100.00%	27.9	28	36	1.42%	1.30%
Algeria	DZA	41,000,000	2,381,740	35.3	33.3	46.5	0.754	0.745	45.8	3.7	3.85	491.1	496.1	470.8	488.9	11909	12008	11323	12037	1.1	3.85			7.34	6.51	5.87	6.1			6	1,031	256	248.2	11.6	112		-	5.87	6.1	5.87	6.1	0.35	0.18	11.2	12.7		99.8	10	10	25	22	-0.96	-0.88	-0.6	-0.6	-1.2	-1.2	-0.86	-0.816	-0.61	-0.61	35.2	29.7	29	30.1	44.7	45.8	30	30	42.5	3.98	0.30%	1.10%	25.8	26	8	5.59%	6.00%
Angola	AGO	30,000,000	1,246,700	42.7	-	-	0.581	0.586	28.4	3	0.7	215.1	213.6	201.9	203.3	7149	6995	6478	6581	-1.32	0.7	3.12	3.49	2.75	2.47	2.04	1.93	2.42		2.42	196	87.3	71.3	8.8	241		-	2.04	2.42	2.04	2.42			6.6	8.53	11.9	46.9	10	10	16	20	-0.29	-0.71	-1	-1.1	-1	-0.7	-1.1	-0.952	-1.41	-0.66	25.4	25.3	18.9	20.6	48.6	52.6	40	40	32.1	0.79	54.50%	68.20%	38.2	30	30	1.13%	1.60%
Argentina	ARG	44,000,000	2,736,690	41.7	35.2	50	0.825	0.842	57.3	1.2	10.26	1,012.10	991.6	893.5	985.2	23291	22997	20769	23627	-2.62	10.26	5.36	5.78	5.55	5.45	4.88	4.72			5	1,390	1127.9	946	9.7	39		5.4	4.88	4.72	4.88	4.72	0.4	0.42	6.6	10.9	0.3	100	33	35	50	49	0.18	-0.11	0.2	-0.4	-0.3	-0.6	-0.25	-0.462	-0.26	-0.4	44.5	57.9	32.6	45.1	52.3	50.1	60	60	38.5	3.74	30.70%	27.10%	38.9	39	45	0.57%	0.70%
Armenia	ARM	3,000,000	28,203	31.5	25.7	54.7	0.755	0.759	51.7	3	5.7	37.5	40.4	37.4	39.5	13019	14230	13311	14630	5.2	5.7	2.25	2.81	2.76	2.71	2.26	2.56	2.71		2.71	883	422.3	524		26		2.2	2.26	2.71	2.26	2.71	6.91	10.48	16.8	20.9	0.1	100	15	23	30	32	-0.71	-0.84	-0.1	-0.2	0.3	0.1	-0.16	-0.096	-0.56	0.07	47.4	33.1	40.5	50.8	68.7	65.3	70	70	25.8	2.09	29.60%	24.60%	18.1	18	34	4.44%	4.90%
Australia	AUS	25,000,000	7,682,300	30.3	21.2	43.1	0.939	0.951	78.9	2.5	1.48	1,224.90	1,250.80	1,250.70	1,269.20	50169	51748	53317	55807	2.87	1.48	5.16	5.32	5.29	5.14	5.12				5	4,492	5364.5	5427.5	3	6		5.2	5.12		5.12		0.43	1.46	5.7	5.11	0.4	100	40	39	58	56	0.9	0.85	1.5	1.5	1.9	1.8	1.68	1.674	1.8	1.74	93.4	95.2	77.4	87	80.9	77.7	90	90	36	15.24	14.40%	24.60%	28.7	29	31	1.98%	1.90%
Austria	AUT	9,000,000	82,445	30.5	30.5	46.8	0.908	0.916	80.3	0.9	4.48	488.5	495.8	462.4	483.1	56960	58076	55686	58427	2.5	4.48	5.45	5.46	5.48	5.37	5.22				5	5,138	5322.3	5242.2	17.3	5		5.4	5.22		5.22	-	0.04	0.06	6.1	6.3	0.5	100	37	37	57	56	1.04	0.91	1.5	1.6	1.4	1.3	1.81	1.788	1.53	1.27	80.9	94.6	73.5	82.9	71.8	73.8	70	70	51.8	7.29	80.00%	83.90%	30.6	34	40	0.80%	0.70%
Azerbaijan	AZE	10,000,000	82,629	33.7	-	48	0.757	0.745	51.1	1.1	5.6	141.2	144.8	138.5	146.3	14549	15052	14479	15843	1.5	5.6	2.63	2.95	2.9	2.47	2.46	2.68			2	1,191	168.4	193.1	38.6	26		2.6	2.46	2.68	2.46	2.68	3.89	10.46	5.1	6.58		100	3	2	9	7	-0.76	-0.85	-0.2	0.2	-0.3	-0.1	-0.56	-0.585	-0.88	-0.83	36.8	15.9	39.9	28.6	64.3	61.6	60	60	36.8	3.54	7.80%	12.30%	16.8	17	18	5.27%	4.00%
Bahamas	BHS	400,000	10,010	-	-	-	0.807	0.812	60.4	0.5	13.72	14	14.2	10.8	12.3	37066	38064	29065	34108	1.83	13.72	2.5	2.25	2.33	2.42	2.25	2.29	2.37	2.78	3	1,699	2002.4	2004.6	4.9	70		-	2.25	2.78	2.25	2.78			15.3	13.24		100	38	38	53	53	1	0.88	0.6	0.5	0.1	0.1	0.19	0.102	1.17	1.18	53.5	78.8	50.9	64.3	63.3	68.7	60	60	23.8	7.29	0.00%	0.00%	12.8	13	18		
